\begin{tabular}{lrrlr}
\toprule
    Group &  Node ID &  DRH ID &                                                          Entry name (DRH) &  Weight \\
\midrule
  Group 1 &        1 &     654 &                                                   12th-13th c Cistercians &  100.00 \\
  Group 1 &        1 &     661 &                                                   Congregation of Savigny &  100.00 \\
  Group 1 &        1 &     899 &                                                      Nahdlatul Ulama (NU) &  100.00 \\
  Group 1 &        1 &     943 &                                      Moravian Missionaries in Nunatsiavut &  100.00 \\
  Group 1 &        1 &     963 &                                                       The Knights Templar &  100.00 \\
  Group 1 &        1 &     966 &           Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān, &  100.00 \\
  Group 1 &        1 &     974 &                                     Greek Chalcedonian Christians, Nicaea &  100.00 \\
  Group 1 &        1 &    1293 &                                The Zapotec or Ben 'Zaa (The Cloud People) &  100.00 \\
  Group 1 &        1 &     676 &   The Order of the Holy Trinity for the Redemption of Captives, 1198-1500 &   55.01 \\
  Group 1 &        1 &    1466 &                                                        Islamic modernists &   51.06 \\
  Group 1 &        1 &     900 &                                                                 Pharisees &   50.63 \\
  Group 1 &        1 &     965 &                                                     Pachomian Monasticism &   44.75 \\
  Group 1 &        1 &     888 &                                                             Céli Dé monks &   38.77 \\
  Group 1 &        1 &     843 &                                                 Bnay Qyāmā and Bnāt Qyāmā &   29.88 \\
  Group 1 &        1 &     691 &                                                                       Fur &   28.28 \\
  Group 1 &        1 &    1268 &                                     Monotheistic Pre-Islamic South Arabia &   26.53 \\
  Group 1 &        2 &     476 &                                                                 Cham Bani &  100.00 \\
  Group 1 &        2 &     738 &                                                          Ancient Egyptian &  100.00 \\
  Group 1 &        2 &     788 &                                  The Late Bronze Age City-State of Ugarit &  100.00 \\
  Group 1 &        2 &     970 &                                          Cult of Isis (Mysteries of Isis) &  100.00 \\
  Group 1 &        2 &    1006 &                                               Ancient Egypt - Old Kingdom &  100.00 \\
  Group 1 &        2 &    1008 &                                 Ancient Egypt - First Intermediate Period &  100.00 \\
  Group 1 &        2 &    1125 &                                      Ancient Egypt - the Ramesside Period &  100.00 \\
  Group 1 &        2 &    1069 &                                                Religion at Deir el-Medina &   95.76 \\
  Group 1 &        2 &    1162 &                                                              Lingbao dafa &   93.52 \\
  Group 1 &        2 &    1258 &                                                         Religion in Judah &   93.52 \\
  Group 1 &        2 &    1191 &                                        Religion in Greco-Roman Alexandria &   75.48 \\
  Group 1 &        2 &     228 &                                                         Late Chosŏn Korea &   53.15 \\
  Group 1 &        2 &    1149 &                                                Christianity in Tang China &   35.99 \\
  Group 1 &        3 &     632 &                                                Local Religion at Selinous &  100.00 \\
  Group 1 &        3 &     931 &                                 The Society of Jesus (Jesuits) in Britain &  100.00 \\
  Group 1 &        3 &    1140 &                                               Early Medieval Confucianism &  100.00 \\
  Group 1 &        3 &     354 &                                  Priests and Scholars of Hellenistic Uruk &   98.01 \\
  Group 1 &        3 &    1004 &                                                   Religion in Roman Ostia &   51.50 \\
  Group 1 &        3 &    1227 &                                     Polytheistic Pre-Islamic South Arabia &   32.14 \\
  Group 1 &        5 &    1043 &                                                             Islam in Aceh &  100.00 \\
  Group 1 &        5 &    1108 &                               Early Christianity and Monasticism in Egypt &   83.98 \\
  Group 1 &        6 &     852 &                              Pre-Christian Religion / Paganism in Ireland &   82.15 \\
  Group 1 &        6 &    1231 &                      Shenxiao 神霄 (""""""""Divine Empyrean"""""""") Daoism &   54.45 \\
  Group 1 &        6 &     960 &                                                                 Bön (Bon) &   52.93 \\
  Group 1 &        7 &    1218 &                                                 Yiguan Dao/I-Kuan Tao 一貫道 &   90.44 \\
  Group 1 &        9 &     358 &                                   16th-17th c. Gauḍīya Vaiṣṇava Tradition &   73.72 \\
  Group 1 &        9 &     590 &                                                Huayan School (Early Tang) &   51.70 \\
  Group 1 &        9 &    1172 &                                            Twofold Mystery (Chongxuan 重玄) &   33.31 \\
  Group 1 &       11 &     914 &                                                        Tariqa Shadhiliyya &  100.00 \\
  Group 1 &       11 &    1370 &                                                                      Teda &   69.30 \\
  Group 1 &       11 &     994 &               Monastic Communities of Lower Egypt: Nitria, Kellia, Scetis &   35.27 \\
  Group 1 &       11 &     456 &                                                               The Essenes &   31.62 \\
  Group 1 &       12 &     416 &                                                                Edinoverie &  100.00 \\
  Group 1 &       12 &     984 &                                             Calvinism (Early/Reformation) &  100.00 \\
  Group 1 &       15 &     442 &                                                                  Donatism &  100.00 \\
  Group 1 &       15 &     483 &                                            Northern Irish Roman Catholics &  100.00 \\
  Group 1 &       15 &     989 &                                                                  Opus Dei &  100.00 \\
  Group 1 &       15 &    1038 &                                                Sino-Muslims in Qing China &  100.00 \\
  Group 1 &       15 &    1321 &                                                      Mourides (Muridiyya) &  100.00 \\
  Group 1 &       15 &     387 &                                Ahmadi; Ahmadiyya Muslim Jama'at; Ahmadiya &   50.15 \\
  Group 1 &       15 &     927 &                                                                   Zealots &   28.67 \\
  Group 1 &       18 &     176 &                                                           Qumran Movement &   62.40 \\
  Group 1 &       26 &    1295 &                                                                  Donatism &   77.18 \\
  Group 1 &       26 &     621 &                                                                  Haitians &   33.15 \\
