entry_id,entry_name
174,Matthew-James-Didache Movement
190,Sri Lankan Buddhism (1948-Present)
200,Nechung Cult
230,Religion in Mesopotamia
263,Irish Catholicism
284,Yolngu religion
378,Bahinabai Chaudhari's Songs: A Performance Tradition in Maharashtra
381,Sikhism: Guru Nanak to Guru Arjan
383,Varkaris
390,Dasara
392,Sikhism: Guru Hargobind to Guru Gobind Singh
395,International Society for Krishna Consciousness (ISKCON)
400,Singaporean Mega-Churches
415,Shaiva World Renouncers
416,Edinoverie
419,The Worship of Jagannath in Puri (Odisha)
442,Donatism
469,Won-Buddhism
472,Karma Kagyu or Kamtsang Kagyu
476,Cham Bani
478,Early Indian Buddhism
483,Northern Irish Roman Catholics
484,Northern Irish Protestants
486,Church of Jesus Christ of Latter-day Saints (early)
520,Cham Ahiér
525,Church of Jesus Christ of Latter-day Saints (modern)
526,Hmong Christianity
563,"Gaddi, a Hindu community of the Western Himalayas"
564,Tribal Christianity (and allied castes) in the Himalayas
570,Supreme Master Ching Hai World Society
592,Veerashaivas
624,The Roshaniyya
629,Newar Buddhists
645,"Meo Muslim, Mev, Mewati Muslim"
646,Lakota Religious Traditions
649,"Worshippers at the Chidambaram Nataraja Temple, Modern Period"
654,12th-13th c Cistercians
661,Congregation of Savigny
680,Gujarati Mata Worshipers
690,Ahl-e-Sunnat wa Jamaat
714,Tamil Śaiva Bhakti
738,Ancient Egyptian
742,Thai Bhikkhunis
749,Korean shamanism
755,Uyghur Islam
839,19th century German Protestantism
842,American Evangelicalism
848,Sadducees
849,"""""""""""""""""Gaiwiio Religion,"""""""""""""""" """"""""""""""""Longhouse Religion,"""""""""""""""" or """"""""""""""""The Way of Handsome Lake"""""""""""""""" of the Seneca Tribe"
851,Sikhism in the United States
854,pre-Christian Irish
855,Middle-Class Migrant Muslims in the UAE
857,Wesleyanism
862,Ilm-e-Khshnoom
867,Nyingma Treasure
871,Spiritualism
873,The Branch Davidians
877,The International Network of Engaged Buddhists - INEB
879,Free Methodist Church
884,Sub Saharan Africa Pentecostalism
885,Contemporary West African Vodun
886,Pushtimarg (The Path of Grace) in the UK and Gujarat
891,Peruvian Mormons
892,Charismatic Renewal Movement in Christianity - Second Wave Pentecostalism
894,Universal Fellowship of Metropolitan Community Churches
896,Sannō Shintō
898,Rastafari of Jamaica
899,Nahdlatul Ulama (NU)
910,Christian Base Community movement
914,Tariqa Shadhiliyya
919,Catholicism in contemporary Croatia
921,Bhils
925,Rabbinic Judaism (Babylonia)
926,Ladakhi Buddhism
928,The Ghost Dance Movement and the Lakota Sioux
929,Drikung Kagyu
931,The Society of Jesus (Jesuits) in Britain
933,Marcionites
935,Nigerian Pentecostalism
937,Vestal Virgins
938,Ugarit
942,African Methodist Episcopal Church
943,Moravian Missionaries in Nunatsiavut
946,Nyingma (rnying ma)
949,The Church of All Worlds
952,Ethiopian Jews
960,Bön (Bon)
961,Romanian Orthodox Church
962,Amdo Gelukpa
966,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,"
967,Unitarian Universalism
968,"Anabaptist Mennonites in North America, 1683-2021"
969,Adi Dravida/Valluva Sakya Buddhism
971,Gāṇapatya
973,The Sarna religion of the Oraons of Jharkhand
974,"Greek Chalcedonian Christians, Nicaea"
975,Neo-Charismatic Movement - Third Wave Charismatic Movement
976,Mising Community
977,Chishti Sufis
978,Indonesian Catholicism
981,Nation of Islam
983,Tibetan and Himalayan Mundane and Landscape Cults
984,Calvinism (Early/Reformation)
985,The Victorines
986,Theurgy
987,"Parsis, Zoroastrians of India"
988,Churches of Christ- United States
989,Opus Dei
991,Beat Buddhism
993,Pontifex Maximus and Pontifices (Pontifical College)
995,Tamil Neo-Saivism
997,Ancient Egypt - Early Dynastic Period
1008,Ancient Egypt - First Intermediate Period
1013,Estado da Índia Renegades in Deccan
1037,Third Intermediate Period in Ancient Egypt
1038,Sino-Muslims in Qing China
1041,Korean Catholicism
1044,Han Imperial Cult under Emperor Wu
1071,Digital Shinto Communities
1076,Inquisitors of Goa's Santo Ofício
1083,Drukpa Kagyü School (Bhutan)
1087,The Bogomils
1127,Anglican Church of Korea
1129,Ancient Thessalians
1134,Tiantai
1140,Early Medieval Confucianism
1154,The Cult of the Fox
1180,Batak Traditional Religions
1192,Kaharingan
1248,Religion in the Old Assyrian Period
1293,The Zapotec or Ben 'Zaa (The Cloud People)
1304,Peyote Religion (Peyotism) and the Native American Church
1307,Southern Baptists
1311,Jehovah's Witnesses
1319,Reginistas
1321,Mourides (Muridiyya)
1322,Pagans under the Emperor Julian
1334,No-debt Movement in US Evangelicalism
1335,Congregation of the Oratory
1341,Muslim Students Association of the United States and Canada
1352,Śākadvīpīya Brāhmaṇas
1371,Twelver Shi'ism in post-revolutionary Iran
1374,The Reformed Church (Early Orthodoxy)
1396,Ptolemaic Egypt - Egyptian Religion
1412,Tenrikyo
1419,Ancient Egyptian Religion in the Early 18th Dynasty
1426,Early Missionary Christianity in China
1495,Secular Buddhists
1542,Umbanda
