entry_id,entry_name
174,Matthew-James-Didache Movement
190,Sri Lankan Buddhism (1948-Present)
200,Nechung Cult
230,Religion in Mesopotamia
263,Irish Catholicism
284,Yolngu religion
294,Xuanxue 玄學
378,Bahinabai Chaudhari's Songs: A Performance Tradition in Maharashtra
381,Sikhism: Guru Nanak to Guru Arjan
383,Varkaris
390,Dasara
392,Sikhism: Guru Hargobind to Guru Gobind Singh
395,International Society for Krishna Consciousness (ISKCON)
400,Singaporean Mega-Churches
415,Shaiva World Renouncers
416,Edinoverie
419,The Worship of Jagannath in Puri (Odisha)
420,Swaminarayan Sampraday
440,"Jain Digambara Tantra, Karnataka"
442,Donatism
469,Won-Buddhism
472,Karma Kagyu or Kamtsang Kagyu
476,Cham Bani
478,Early Indian Buddhism
483,Northern Irish Roman Catholics
484,Northern Irish Protestants
486,Church of Jesus Christ of Latter-day Saints (early)
490,Guglielmites
520,Cham Ahiér
525,Church of Jesus Christ of Latter-day Saints (modern)
526,Hmong Christianity
534,Roman Imperial Cult
562,Medieval Śrīvaiṣṇavism
563,"Gaddi, a Hindu community of the Western Himalayas"
564,Tribal Christianity (and allied castes) in the Himalayas
570,Supreme Master Ching Hai World Society
580,Nāth Sampradāya
592,Veerashaivas
624,The Roshaniyya
629,Newar Buddhists
632,Local Religion at Selinous
645,"Meo Muslim, Mev, Mewati Muslim"
646,Lakota Religious Traditions
649,"Worshippers at the Chidambaram Nataraja Temple, Modern Period"
654,12th-13th c Cistercians
661,Congregation of Savigny
679,Santal
680,Gujarati Mata Worshipers
690,Ahl-e-Sunnat wa Jamaat
714,Tamil Śaiva Bhakti
738,Ancient Egyptian
742,Thai Bhikkhunis
749,Korean shamanism
755,Uyghur Islam
788,The Late Bronze Age City-State of Ugarit
839,19th century German Protestantism
841,Sa skya
842,American Evangelicalism
848,Sadducees
849,"""""""""""""""""Gaiwiio Religion,"""""""""""""""" """"""""""""""""Longhouse Religion,"""""""""""""""" or """"""""""""""""The Way of Handsome Lake"""""""""""""""" of the Seneca Tribe"
851,Sikhism in the United States
854,pre-Christian Irish
855,Middle-Class Migrant Muslims in the UAE
857,Wesleyanism
860,Kimpa Vita
862,Ilm-e-Khshnoom
867,Nyingma Treasure
869,Sichuan Esoteric Buddhist Cult
871,Spiritualism
873,The Branch Davidians
877,The International Network of Engaged Buddhists - INEB
879,Free Methodist Church
880,Egyptian Salafism (inluding North Africa and West Asia)
884,Sub Saharan Africa Pentecostalism
885,Contemporary West African Vodun
886,Pushtimarg (The Path of Grace) in the UK and Gujarat
891,Peruvian Mormons
892,Charismatic Renewal Movement in Christianity - Second Wave Pentecostalism
894,Universal Fellowship of Metropolitan Community Churches
896,Sannō Shintō
898,Rastafari of Jamaica
899,Nahdlatul Ulama (NU)
910,Christian Base Community movement
914,Tariqa Shadhiliyya
915,Protestantism welcoming People with Disabilities
919,Catholicism in contemporary Croatia
921,Bhils
925,Rabbinic Judaism (Babylonia)
926,Ladakhi Buddhism
928,The Ghost Dance Movement and the Lakota Sioux
929,Drikung Kagyu
931,The Society of Jesus (Jesuits) in Britain
933,Marcionites
935,Nigerian Pentecostalism
937,Vestal Virgins
938,Ugarit
942,African Methodist Episcopal Church
943,Moravian Missionaries in Nunatsiavut
946,Nyingma (rnying ma)
949,The Church of All Worlds
950,The Religious Society of Friends
952,Ethiopian Jews
958,Society of Jesus
960,Bön (Bon)
961,Romanian Orthodox Church
962,Amdo Gelukpa
963,The Knights Templar
964,Baul Fakirs of Bengal
966,"Naqshbandī Order, Naqshbandī Tarīqa, Naqshbandīyyah, Khwājagān,"
967,Unitarian Universalism
968,"Anabaptist Mennonites in North America, 1683-2021"
969,Adi Dravida/Valluva Sakya Buddhism
970,Cult of Isis (Mysteries of Isis)
971,Gāṇapatya
973,The Sarna religion of the Oraons of Jharkhand
974,"Greek Chalcedonian Christians, Nicaea"
975,Neo-Charismatic Movement - Third Wave Charismatic Movement
976,Mising Community
977,Chishti Sufis
978,Indonesian Catholicism
981,Nation of Islam
983,Tibetan and Himalayan Mundane and Landscape Cults
984,Calvinism (Early/Reformation)
985,The Victorines
986,Theurgy
987,"Parsis, Zoroastrians of India"
988,Churches of Christ- United States
989,Opus Dei
991,Beat Buddhism
993,Pontifex Maximus and Pontifices (Pontifical College)
995,Tamil Neo-Saivism
997,Ancient Egypt - Early Dynastic Period
1006,Ancient Egypt - Old Kingdom
1008,Ancient Egypt - First Intermediate Period
1013,Estado da Índia Renegades in Deccan
1037,Third Intermediate Period in Ancient Egypt
1038,Sino-Muslims in Qing China
1041,Korean Catholicism
1043,Islam in Aceh
1044,Han Imperial Cult under Emperor Wu
1071,Digital Shinto Communities
1076,Inquisitors of Goa's Santo Ofício
1083,Drukpa Kagyü School (Bhutan)
1087,The Bogomils
1125,Ancient Egypt - the Ramesside Period
1127,Anglican Church of Korea
1129,Ancient Thessalians
1134,Tiantai
1136,The Fellowship of Goodness 同善社 (Tongshanshe)
1140,Early Medieval Confucianism
1153,Russian Orthodox Mission in Alaska
1154,The Cult of the Fox
1156,Solovetski monastery
1178,Modern Mystery School (MMS)
1180,Batak Traditional Religions
1183,Religion at Nippur in the Ur III period
1192,Kaharingan
1247,Exovedate
1248,Religion in the Old Assyrian Period
1251,Tsonga
1293,The Zapotec or Ben 'Zaa (The Cloud People)
1304,Peyote Religion (Peyotism) and the Native American Church
1307,Southern Baptists
1311,Jehovah's Witnesses
1319,Reginistas
1321,Mourides (Muridiyya)
1322,Pagans under the Emperor Julian
1334,No-debt Movement in US Evangelicalism
1335,Congregation of the Oratory
1341,Muslim Students Association of the United States and Canada
1352,Śākadvīpīya Brāhmaṇas
1371,Twelver Shi'ism in post-revolutionary Iran
1374,The Reformed Church (Early Orthodoxy)
1396,Ptolemaic Egypt - Egyptian Religion
1409,Formative Olmec
1412,Tenrikyo
1419,Ancient Egyptian Religion in the Early 18th Dynasty
1426,Early Missionary Christianity in China
1495,Secular Buddhists
1522,Tijaniyya Order/ الطريقة التيجانية
1542,Umbanda
