entry_id,entry_name
23,Late Shang Religion
173,Johannine Christianity
174,Matthew-James-Didache Movement
176,Qumran Movement
178,Ancestral Cult of the Han
180,Chinese Folk Religion
182,Pauline Christianity
184,Chinese Buddhism (Northern Wei)
185,Shinnyo-en
186,Buddhism (Late Ming)
187,Chinese State Religion (Shang and Western Zhou)
189,Israelite Religion
190,Sri Lankan Buddhism (1948-Present)
193,Fijian Religion (contemporary)
196,Pauline Christianity (ca. 45-60 CE)
197,Gönlung Monastery (dgon lung byams pa gling)
198,Religion in Attica (600-300BCE)
200,Nechung Cult
201,Mediterranean
202,Early Zhou Religion
203,Pre-imperial Chu Religion
204,Han Confucianism
212,Warring States (China) Religion
217,Roman private religion
222,Late Classic Lowland Maya
224,Old Norse Fornsed
227,Hindu Goddess Worship in Northwest India—Modern Period
228,Late Chosŏn Korea
230,Religion in Mesopotamia
231,Roman private religion
239,North African Proto-Historic
240,Late Medieval Chinese State Religion
245,Warring States Confucian Thought
249,Tyva Republic (Animism-Totemism-Shamanism)
250,"Tiantai Buddhism (Song Dynasty, Liangzhe Circuit)"
255,Talismanic Religion
256,Etruscan Religion
257,Classic Zapotec
263,Irish Catholicism
284,Yolngu religion
294,Xuanxue 玄學
299,Shang State Religion
308,Neo-Assyrian Scholars
310,Aztec Imperial Core
325,Religion at Mawangdui
337,Inca
338,Kwakwaka'wakw Indigenous Canadian Religion
348,Yanshi Shangcheng
354,Priests and Scholars of Hellenistic Uruk
355,Paul the Apostle
358,16th-17th c. Gauḍīya Vaiṣṇava Tradition
361,Classical Greek Religion
364,Chittagong Plain Buddhists
374,Non-dual Śaiva Tantra
378,Bahinabai Chaudhari's Songs: A Performance Tradition in Maharashtra
381,Sikhism: Guru Nanak to Guru Arjan
383,Varkaris
386,Kapingamarangi
387,Ahmadi; Ahmadiyya Muslim Jama'at; Ahmadiya
389,Iban traditional religion
390,Dasara
392,Sikhism: Guru Hargobind to Guru Gobind Singh
395,International Society for Krishna Consciousness (ISKCON)
400,Singaporean Mega-Churches
406,Daoism
415,Shaiva World Renouncers
416,Edinoverie
419,The Worship of Jagannath in Puri (Odisha)
420,Swaminarayan Sampraday
422,Demeter Cult
423,Mediterranean
424,Achaemenid Religion
439,Śaiva Magic
