entry_id,config_id,config_prob,entry_prob,entry_name
23,769975,0.0007997451800926,0.8257907179471066,Late Shang Religion
23,704439,3.1470447856017e-05,0.0324953552406861,Late Shang Religion
23,769971,0.000133508051012,0.1378560472026758,Late Shang Religion
23,704435,3.736201625964671e-06,0.0038578796095314,Late Shang Religion
173,835460,1.3635929297533537e-07,0.0010625379780079,Johannine Christianity
173,311172,2.293110011888061e-07,0.0017868356620344,Johannine Christianity
173,827268,7.90173094849597e-08,0.0006157181547059,Johannine Christianity
173,302980,2.822825195111012e-07,0.0021995999756508,Johannine Christianity
173,831364,1.4351612436002064e-06,0.0111830539203964,Johannine Christianity
173,307076,2.0740419430546567e-06,0.0161613358678499,Johannine Christianity
173,823172,1.0319687119624343e-06,0.008041299750464,Johannine Christianity
173,298884,3.168144375239142e-06,0.0246867935807844,Johannine Christianity
173,833412,1.074000122633936e-07,0.0008368816629829,Johannine Christianity
173,309124,1.983894300303905e-07,0.0015458888004117,Johannine Christianity
173,825220,2.662413228185394e-07,0.0020746038692129,Johannine Christianity
173,300932,1.044747302466953e-06,0.0081408729986101,Johannine Christianity
173,829316,7.375618264641626e-06,0.0574722437061054,Johannine Christianity
173,305028,1.170817801995118e-05,0.0912323870858298,Johannine Christianity
173,821124,2.2688087986340057e-05,0.1767899686765928,Johannine Christianity
173,296836,7.650862220278641e-05,0.5961699783103599,Johannine Christianity
174,370564,0.0007637778226942,1.0,Matthew-James-Didache Movement
176,495495,0.0004143591833357,0.0478170721112295,Qumran Movement
176,429959,1.3126323926786793e-05,0.0015147784893037,Qumran Movement
176,462727,1.2936661284127144e-05,0.0014928914101087,Qumran Movement
176,397191,3.640206770232068e-06,0.0004200800576704,Qumran Movement
176,493447,0.0014915498781163,0.1721249364023122,Qumran Movement
176,427911,9.6098456642479e-05,0.0110897670809614,Qumran Movement
176,460679,2.6051761168148844e-05,0.0030063746442718,Qumran Movement
176,395143,1.4909168283759477e-05,0.0017205188242811,Qumran Movement
176,495494,0.0008568417439147,0.0988795834735535,Qumran Movement
176,429958,1.4479690396458191e-05,0.0016709570529166,Qumran Movement
176,462726,2.2310913237706186e-05,0.0025746805912836,Qumran Movement
176,397190,3.348988864868294e-06,0.0003864734956805,Qumran Movement
